feature,importance,target
BMI_delta_last_first,105,risk_hepatic_event
BMI_v1,94,risk_hepatic_event
fibs_stiffness_med_BM_1_abs_delta_last_first,83,risk_hepatic_event
fibs_stiffness_med_BM_1_v2,82,risk_hepatic_event
fibs_stiffness_med_BM_1_first_non_null,79,risk_hepatic_event
Dyslipidaemia,77,risk_hepatic_event
alt_abs_delta_last_first,77,risk_hepatic_event
fibs_stiffness_med_BM_1_v3,74,risk_hepatic_event
Age_delta_last_first,73,risk_hepatic_event
fibs_stiffness_med_BM_1_v1,70,risk_hepatic_event
Age_last_non_null,70,risk_hepatic_event
triglyc_delta_last_first,67,risk_hepatic_event
fibs_stiffness_med_BM_1_v4,63,risk_hepatic_event
bilirubin_delta_last_first,63,risk_hepatic_event
fibrotest_BM_2_abs_delta_last_first,62,risk_hepatic_event
triglyc_abs_delta_last_first,62,risk_hepatic_event
ast_v4,59,risk_hepatic_event
ast_v1,58,risk_hepatic_event
Age_v1,57,risk_hepatic_event
aixp_aix_result_BM_3_first_non_null,56,risk_hepatic_event
fibs_stiffness_med_BM_1_last_non_null,54,risk_hepatic_event
BMI_last_non_null,52,risk_hepatic_event
alt_delta_last_first,52,risk_hepatic_event
gluc_fast_last_non_null,52,risk_hepatic_event
ast_last_non_null,51,risk_hepatic_event
ggt_v3,49,risk_hepatic_event
ggt_last_non_null,49,risk_hepatic_event
Hypertension,48,risk_hepatic_event
plt_v2,47,risk_hepatic_event
aixp_aix_result_BM_3_last_non_null,47,risk_hepatic_event
chol_v2,46,risk_hepatic_event
gluc_fast_v2,46,risk_hepatic_event
aixp_aix_result_BM_3_v1,45,risk_hepatic_event
fibrotest_BM_2_last_non_null,45,risk_hepatic_event
plt_last_non_null,45,risk_hepatic_event
chol_v4,44,risk_hepatic_event
BMI_abs_delta_last_first,44,risk_hepatic_event
fibs_stiffness_med_BM_1_delta_last_first,44,risk_hepatic_event
ggt_delta_last_first,44,risk_hepatic_event
ast_v3,42,risk_hepatic_event
aixp_aix_result_BM_3_v2,42,risk_hepatic_event
ast_v2,41,risk_hepatic_event
ggt_v2,41,risk_hepatic_event
fibrotest_BM_2_delta_last_first,40,risk_hepatic_event
triglyc_v2,38,risk_hepatic_event
ast_abs_delta_last_first,38,risk_hepatic_event
chol_abs_delta_last_first,34,risk_hepatic_event
gluc_fast_abs_delta_last_first,34,risk_hepatic_event
gluc_fast_v1,33,risk_hepatic_event
alt_v1,31,risk_hepatic_event
alt_v2,31,risk_hepatic_event
chol_v1,31,risk_hepatic_event
triglyc_v4,31,risk_hepatic_event
bilirubin_v2,30,risk_hepatic_event
bilirubin_last_non_null,30,risk_hepatic_event
gluc_fast_first_non_null,30,risk_hepatic_event
BMI_v2,29,risk_hepatic_event
alt_v3,29,risk_hepatic_event
ggt_v4,29,risk_hepatic_event
gluc_fast_v3,29,risk_hepatic_event
ast_delta_last_first,29,risk_hepatic_event
bilirubin_abs_delta_last_first,29,risk_hepatic_event
T2DM,27,risk_hepatic_event
ggt_v6,27,risk_hepatic_event
BMI_first_non_null,27,risk_hepatic_event
Age_v2,26,risk_hepatic_event
