score_decile,row_count,positive_count,event_rate,mean_score,median_score,mean_event_age,median_event_age
10,99,33,0.3333333333333333,0.21584159352007237,0.1331905257979988,75.03030303030303,74.0
9,98,13,0.1326530612244898,0.03346750137467192,0.0289010108592994,69.53846153846153,68.0
8,98,9,0.09183673469387756,0.01410748289039862,0.01381212703544135,74.44444444444444,77.0
7,99,7,0.0707070707070707,0.007655304724866523,0.0073730356288822,68.42857142857143,74.0
6,98,4,0.04081632653061224,0.004746581496913492,0.0046374617540493,74.25,73.0
5,98,2,0.02040816326530612,0.0029798734166790507,0.00290010394074205,75.0,75.0
4,99,3,0.030303030303030304,0.0019489706595747262,0.0019754228288962,73.0,78.0
3,98,3,0.030612244897959183,0.001232511965320354,0.00123882869156035,53.666666666666664,48.0
2,98,2,0.02040816326530612,0.0007845021737361632,0.0007841016980884,54.0,54.0
1,99,0,0.0,0.0004217011123890757,0.0004283712063852,,
