subgroup,level,row_count,positive_count,negative_count,event_rate,mean_score,hard_fn_count,hard_fp_count,hard_fn_rate,hard_fp_rate
Dyslipidaemia,0.0,479,31,448,0.06471816283924843,0.01868188309108723,13,27,0.41935483870967744,0.060267857142857144
Dyslipidaemia,1.0,369,37,332,0.1002710027100271,0.04233504398224258,6,53,0.16216216216216217,0.15963855421686746
Dyslipidaemia,2.0,108,8,100,0.07407407407407407,0.030853309404650045,0,11,0.0,0.11
Dyslipidaemia,nan,28,0,28,0.0,0.0027031146796209463,0,0,,0.0
Hypertension,0.0,449,24,425,0.053452115812917596,0.019487700171599214,7,28,0.2916666666666667,0.06588235294117648
Hypertension,1.0,417,46,371,0.11031175059952038,0.041286757701798724,12,58,0.2608695652173913,0.15633423180592992
Hypertension,2.0,90,6,84,0.06666666666666667,0.021509503412026537,0,5,0.0,0.05952380952380952
Hypertension,nan,28,0,28,0.0,0.0027031146796209463,0,0,,0.0
T2DM,0.0,507,28,479,0.055226824457593686,0.021800308208220175,9,37,0.32142857142857145,0.07724425887265135
T2DM,1.0,363,42,321,0.11570247933884298,0.041879983321446886,10,50,0.23809523809523808,0.1557632398753894
T2DM,2.0,88,6,82,0.06818181818181818,0.018731040566145118,0,4,0.0,0.04878048780487805
T2DM,nan,26,0,26,0.0,0.0028683107590874684,0,0,,0.0
age_band,66+,379,52,327,0.13720316622691292,0.05544718530596542,11,67,0.21153846153846154,0.20489296636085627
age_band,56-65,277,14,263,0.05054151624548736,0.016811061480121965,1,16,0.07142857142857142,0.060836501901140684
age_band,46-55,182,7,175,0.038461538461538464,0.008471609572717833,5,5,0.7142857142857143,0.02857142857142857
age_band,<=45,146,3,143,0.02054794520547945,0.0052405318741134445,2,3,0.6666666666666666,0.02097902097902098
bariatric_surgery,0.0,812,67,745,0.08251231527093596,0.030437720142577066,17,78,0.2537313432835821,0.10469798657718121
bariatric_surgery,1.0,72,3,69,0.041666666666666664,0.02308328664472465,2,7,0.6666666666666666,0.10144927536231885
bariatric_surgery,2.0,71,5,66,0.07042253521126761,0.018239463802623614,0,6,0.0,0.09090909090909091
bariatric_surgery,nan,29,1,28,0.034482758620689655,0.01054036319416752,0,0,0.0,0.0
bmi_band,overweight,365,32,333,0.08767123287671233,0.03769895737926514,8,48,0.25,0.14414414414414414
bmi_band,obesity_I,210,19,191,0.09047619047619047,0.028667572024620724,6,21,0.3157894736842105,0.1099476439790576
bmi_band,normal_or_less,208,19,189,0.09134615384615384,0.02911819904986435,2,12,0.10526315789473684,0.06349206349206349
bmi_band,obesity_II_plus,124,6,118,0.04838709677419355,0.016673051140347027,3,10,0.5,0.0847457627118644
bmi_band,nan,77,0,77,0.0,0.0009577213562720066,0,0,,0.0
gender,1,524,44,480,0.08396946564885496,0.033752713641521895,7,56,0.1590909090909091,0.11666666666666667
gender,2,460,32,428,0.06956521739130435,0.022373208497070463,12,35,0.375,0.08177570093457943
visit_coverage_band,sparse,711,50,661,0.07032348804500703,0.028230471835165895,12,61,0.24,0.09228441754916793
visit_coverage_band,medium,217,22,195,0.10138248847926268,0.029579001843017975,4,23,0.18181818181818182,0.11794871794871795
visit_coverage_band,dense,56,4,52,0.07142857142857142,0.026564088965572105,3,7,0.75,0.1346153846153846
