feature,importance,target
bilirubin_v3,83.0,risk_death
chol_visit_std,71.0,risk_death
Age_v2,68.0,risk_death
aixp_aix_result_BM_3_v1,65.0,risk_death
Age_visit_std,58.0,risk_death
ggt_visit_range,57.0,risk_death
gluc_fast_v3,56.0,risk_death
fibrotest_BM_2_delta_last_first,56.0,risk_death
fibs_stiffness_med_BM_1_visit_min,54.0,risk_death
fibs_stiffness_med_BM_1_v2,53.0,risk_death
gluc_fast_delta_last_first,52.0,risk_death
ast_v3,51.0,risk_death
ast_delta_last_first,50.0,risk_death
fibrotest_BM_2_v5,47.0,risk_death
ggt_abs_delta_last_first,47.0,risk_death
alt_visit_min,47.0,risk_death
alt_v10,45.0,risk_death
bilirubin_visit_min,44.0,risk_death
ggt_v2,43.0,risk_death
gluc_fast_v2,43.0,risk_death
