subgroup,level,row_count,positive_count,negative_count,event_rate,mean_score,hard_fn_count,hard_fp_count,hard_fn_rate,hard_fp_rate
Dyslipidaemia,0.0,491,23,468,0.04684317718940937,0.01639558698054297,6,39,0.2608695652173913,0.08333333333333333
Dyslipidaemia,1.0,378,20,358,0.05291005291005291,0.02806071191299187,5,59,0.25,0.164804469273743
Dyslipidaemia,nan,267,1,266,0.003745318352059925,0.011581957631405201,0,8,0.0,0.03007518796992481
Dyslipidaemia,2.0,117,3,114,0.02564102564102564,0.016306494483684368,1,15,0.3333333333333333,0.13157894736842105
Hypertension,0.0,460,16,444,0.034782608695652174,0.016594386130330336,4,36,0.25,0.08108108108108109
Hypertension,1.0,426,28,398,0.06572769953051644,0.02666543783826309,7,67,0.25,0.16834170854271358
Hypertension,nan,268,1,267,0.0037313432835820895,0.011570532468722777,0,8,0.0,0.0299625468164794
Hypertension,2.0,99,2,97,0.020202020202020204,0.015794222344081323,1,10,0.5,0.10309278350515463
T2DM,0.0,522,18,504,0.034482758620689655,0.014878308452363419,6,37,0.3333333333333333,0.07341269841269842
T2DM,1.0,368,26,342,0.07065217391304347,0.030809773257391662,5,67,0.19230769230769232,0.195906432748538
T2DM,nan,266,1,265,0.0037593984962406013,0.01162652657913579,0,8,0.0,0.03018867924528302
T2DM,2.0,97,2,95,0.020618556701030927,0.015054589812678662,1,9,0.5,0.09473684210526316
age_band,66+,468,28,440,0.05982905982905983,0.02487384007044593,8,65,0.2857142857142857,0.14772727272727273
age_band,56-65,362,12,350,0.03314917127071823,0.01989120751364293,3,41,0.25,0.11714285714285715
age_band,46-55,233,6,227,0.02575107296137339,0.013946495997636178,1,12,0.16666666666666666,0.05286343612334802
age_band,<=45,190,1,189,0.005263157894736842,0.008243773749353268,0,3,0.0,0.015873015873015872
bariatric_surgery,0.0,827,40,787,0.04836759371221282,0.021257871217346666,9,96,0.225,0.12198221092757307
bariatric_surgery,nan,276,2,274,0.007246376811594203,0.011421932577099041,1,8,0.5,0.029197080291970802
bariatric_surgery,2.0,78,1,77,0.01282051282051282,0.018769671873298945,0,6,0.0,0.07792207792207792
bariatric_surgery,1.0,72,4,68,0.05555555555555555,0.020287188313770018,2,11,0.5,0.16176470588235295
bmi_band,overweight,417,20,397,0.047961630695443645,0.02303101910721724,5,40,0.25,0.10075566750629723
bmi_band,obesity_I,242,13,229,0.05371900826446281,0.026557186584668067,3,38,0.23076923076923078,0.16593886462882096
bmi_band,normal_or_less,230,7,223,0.030434782608695653,0.014600066396438557,2,21,0.2857142857142857,0.09417040358744394
bmi_band,nan,217,1,216,0.004608294930875576,0.00689165131483061,1,4,1.0,0.018518518518518517
bmi_band,obesity_II_plus,147,6,141,0.04081632653061224,0.01886494642881236,1,18,0.16666666666666666,0.1276595744680851
gender,1,655,25,630,0.03816793893129771,0.02079209596759028,5,73,0.2,0.11587301587301588
gender,2,598,22,576,0.03678929765886288,0.016786959856124002,7,48,0.3181818181818182,0.08333333333333333
visit_coverage_band,sparse,975,30,945,0.03076923076923077,0.0166085263156085,8,80,0.26666666666666666,0.08465608465608465
visit_coverage_band,medium,221,14,207,0.06334841628959276,0.026240869801872464,2,24,0.14285714285714285,0.11594202898550725
visit_coverage_band,dense,57,3,54,0.05263157894736842,0.029208411733362874,2,17,0.6666666666666666,0.3148148148148148
