feature,importance,target
fibs_stiffness_med_BM_1_visit_mean,2.4076059634923253,risk_hepatic_event
fibs_stiffness_med_BM_1_last_non_null,2.046613180244719,risk_hepatic_event
fibs_stiffness_med_BM_1_visit_min,1.587066370961528,risk_hepatic_event
log1p_ast,1.4546899997809133,risk_hepatic_event
fibs_stiffness_med_BM_1_first_non_null,1.4053063438957158,risk_hepatic_event
BMI_delta_last_first,1.3624436307628731,risk_hepatic_event
Age_visit_mean,1.3159264721749335,risk_hepatic_event
BMI_visit_std,1.2701983374072332,risk_hepatic_event
aixp_aix_result_BM_3_first_non_null,1.2660527187723716,risk_hepatic_event
aixp_aix_result_BM_3_last_non_null,1.226474044249164,risk_hepatic_event
fibrotest_BM_2_abs_delta_last_first,1.2050351135703712,risk_hepatic_event
BMI_v1,1.1557964923594335,risk_hepatic_event
Age_abs_delta_last_first,1.1426573546503325,risk_hepatic_event
chol_v2,1.119594134243466,risk_hepatic_event
ast_visit_min,1.1081832601147596,risk_hepatic_event
fibrotest_BM_2_last_non_null,1.1042880166788107,risk_hepatic_event
fibs_stiffness_med_BM_1_v2,1.0908241254300666,risk_hepatic_event
ast_alt_ratio,1.0861593361502777,risk_hepatic_event
triglyc_abs_delta_last_first,1.0663841509417369,risk_hepatic_event
fibrotest_BM_2_visit_max,1.0545593379331617,risk_hepatic_event
